0 : 1  ,  26.052301  ,  0 
0 : 2  ,  25.926050  ,  11 
0 : 3  ,  26.001764  ,  2 
0 : 4  ,  26.001764  ,  0 
0 : 5  ,  26.001764  ,  2 
0 : 6  ,  26.229181  ,  1 
0 : 7  ,  25.875574  ,  2 
0 : 8  ,  26.659601  ,  2 
0 : 9  ,  25.699091  ,  2 
0 : 10  ,  26.710382  ,  2 
0 : 11  ,  25.825129  ,  2 
0 : 12  ,  27.142206  ,  2 
0 : 13  ,  26.027033  ,  2 
0 : 14  ,  27.040461  ,  2 
0 : 15  ,  26.027033  ,  2 
0 : 16  ,  27.193079  ,  1 
0 : 17  ,  25.799921  ,  1 
0 : 18  ,  27.345881  ,  2 
0 : 19  ,  25.573114  ,  2 
0 : 20  ,  27.473322  ,  2 
0 : 21  ,  24.994776  ,  0 
0 : 22  ,  27.422297  ,  2 
0 : 23  ,  25.497553  ,  2 
0 : 24  ,  26.659601  ,  1 
0 : 25  ,  26.583612  ,  1 
0 : 26  ,  25.825129  ,  1 
0 : 27  ,  27.345881  ,  1 
0 : 28  ,  25.497553  ,  2 
0 : 29  ,  27.651941  ,  0 
0 : 30  ,  25.472406  ,  19 
0 : 31  ,  26.558252  ,  7 
0 : 32  ,  17.784510  ,  8 
0 : 33  ,  18.720301  ,  1 
0 : 34  ,  18.523279  ,  0 
0 : 35  ,  20.692682  ,  0 
0 : 36  ,  19.903070  ,  0 
0 : 37  ,  21.261042  ,  0 
0 : 38  ,  21.607355  ,  0 
0 : 39  ,  21.681665  ,  0 
0 : 40  ,  22.822535  ,  0 
0 : 41  ,  21.681665  ,  0 
0 : 42  ,  23.619013  ,  0 
0 : 43  ,  22.375544  ,  0 
0 : 44  ,  23.569178  ,  0 
0 : 45  ,  23.643946  ,  0 
0 : 46  ,  23.444574  ,  0 
0 : 47  ,  24.593592  ,  0 
0 : 48  ,  23.419672  ,  0 
0 : 49  ,  25.321436  ,  0 
0 : 50  ,  23.743708  ,  0 
0 : 51  ,  24.743952  ,  0 
0 : 52  ,  25.019922  ,  0 
0 : 53  ,  24.568567  ,  0 
0 : 54  ,  25.472406  ,  0 
0 : 55  ,  24.268244  ,  0 
0 : 56  ,  26.203913  ,  0 
0 : 57  ,  24.293268  ,  0 
0 : 58  ,  25.724237  ,  0 
0 : 59  ,  25.019922  ,  0 
1 : 0  ,  25.296289  ,  0 
1 : 1  ,  25.799921  ,  0 
1 : 2  ,  25.346582  ,  0 
1 : 3  ,  26.229181  ,  0 
1 : 4  ,  24.944635  ,  0 
1 : 5  ,  26.583612  ,  4 
1 : 6  ,  24.618616  ,  4 
1 : 7  ,  26.355677  ,  4 
1 : 8  ,  24.819178  ,  0 
1 : 9  ,  25.875574  ,  0 
1 : 10  ,  24.794092  ,  0 
1 : 11  ,  25.522760  ,  0 
1 : 12  ,  25.422083  ,  0 
1 : 13  ,  25.724237  ,  8 
1 : 14  ,  24.794092  ,  0 
1 : 15  ,  25.648645  ,  0 
1 : 16  ,  24.443354  ,  0 
1 : 17  ,  25.522760  ,  0 
1 : 18  ,  24.318232  ,  0 
1 : 19  ,  25.573114  ,  0 
1 : 20  ,  23.943384  ,  0 
1 : 21  ,  25.220881  ,  0 
1 : 22  ,  23.743708  ,  2 
1 : 23  ,  24.969690  ,  4 
1 : 24  ,  23.993341  ,  3 
1 : 25  ,  24.994776  ,  2 
1 : 26  ,  24.468378  ,  6 
1 : 27  ,  25.145502  ,  0 
1 : 28  ,  24.944635  ,  0 
1 : 29  ,  25.170618  ,  0 
1 : 30  ,  24.969690  ,  0 
1 : 31  ,  25.045008  ,  0 
1 : 32  ,  25.648645  ,  0 
1 : 33  ,  25.145502  ,  0 
1 : 34  ,  25.623468  ,  0 
1 : 35  ,  25.019922  ,  0 
1 : 36  ,  25.774683  ,  7 
1 : 37  ,  24.894403  ,  6 
1 : 38  ,  26.355677  ,  0 
1 : 39  ,  25.070124  ,  0 
1 : 40  ,  26.634302  ,  0 
1 : 41  ,  25.195734  ,  0 
1 : 42  ,  27.167658  ,  0 
1 : 43  ,  25.547937  ,  0 
1 : 44  ,  27.422297  ,  0 
1 : 45  ,  25.774683  ,  0 
1 : 46  ,  27.447840  ,  0 
1 : 47  ,  25.850336  ,  0 
1 : 48  ,  27.498804  ,  0 
1 : 49  ,  26.102777  ,  0 
1 : 50  ,  27.396845  ,  0 
1 : 51  ,  26.507593  ,  0 
1 : 52  ,  27.065943  ,  6 
timer reset.
